SUPPLIER,TYPE,DESCRIPTION,PARTNUMBER,PRICE,NOTES
Ian Salsbury,Legend,Just plain smarty pants,,999,Cant put  prie on this
TYCO,FREIGHT,TYCO FREIGHT,,30,C:\Users\visal\OneDrive\Work Files\Manuals\Vigilant Documentation\FY19 JCI ExternalFire Detection Price Book (V3A).pdf
TYCO,FREIGHT,OVERNIGHT EXPRESS,,140,
TYCO,SM/HT,MX 850PH MULTI SENSOR SMOKE AND HEAT DETECTOR,516.850.051.E,112.5,
TYCO,SM,MX 850P SMOKE DETECTOR,516.850.052.E,49.5,
TYCO,HT,MX 850H HEAT DETECTOR,516.850.053.E,65.34,
TYCO,BASE,SOUNDER ADJUSTMENT TOOL,517.050.015,9.4,TOOL TO ADJUST SOUNDER BASE VOLUME
TYCO,BASE,4B DETECTOR BASE GEN 6,517.050.041,7.8,600 or 800 series MX4428 or MX1
TYCO,BASE,4B-C CONTINUITY BASE,517.050.042,7.88,800 series on MX1
TYCO,BASE,4BI SHORT CIRCUIT ISOLATOR BASE,517.050.043,47.53,800 series on MX4428
TYCO,BASE,4B-DHM DECKHEAD MOUNTING,517.050.051,29.44,
TYCO,BASE,80DSB NON-ADDRESSABLE MX SOUNDER BASE,576.080.001,81.63,"LOOP POWERED, LOGIC DRIVEN - USE ON MX4428 OR MX1"
TYCO,SM,614P CONVENTIONAL SMOKE DETECTOR,516.600.301,57,
TYCO,HT,614 HEAT DETECTOR TYPE A NORM TEMP FIXED/ROR (614TA),4098-9637EA,48,
TYCO,HT,614 HEAT DETECTOR TYPE B NORM TEMP FIXED (614TB),4098-9638EA,48,
TYCO,HT,614 HEAT DETECTOR TYPE C,4098-9639EA,48,
TYCO,HT,614 HEAT DETECTOR TYPE D,4098-9640EA,48,
TYCO,HT,885WP-B IP67 HEAT DETECTOR,885WP-B,106.92,ENCAPSULATED TYPE B HEAT
TYCO,MODULE,RIM800 MX RELAY INTERFACE MODULE,RIM800,79.56,
TYCO,MODULE,MIM800 MINI INPUT MODULE,MIM800,90,
TYCO,MODULE,MIO800 MULTI INPUT OUTPUT MODULE,555.800.065,157.5,
TYCO,MODULE,QRM850 QUAD RELAY MODULE,555.800.073,147.5,MX1 ONLY - NOT COMPATIBLE WITH MX4428
TYCO,MODULE,QIO850 QUAD I/O MODULE,555.800.071,195,
TYCO,MODULE,DIN RAIL MOUNTING KIT,557.201.303,33.76,"LARGER FORMAT MOUNTING BRACKET MIO, QRM QIO"
TYCO,MODULE,DUAL DETECTOR MODULE (DDM800),577.800.006,108.58,LOOP POWERED - DIN RAIL MOUNTING BRACKET TO MOUNT 
TYCO,MODULE,LIM800 LINE ISOLATOR MODULE,545.800.004,41.25,
TYCO,MODULE,DIN RAIL MOUNTING BRACKET,547.004.002,45.36,"SINGLE MODULE EG RIM800, DDM800, LIM800"
TYCO,MODULE,MX MODULE COVER,517.035.007,7.38,"BOTH TOGERTHER TO FORM A BACKING BOX AND MODULE COVER, MOUNT INTERNALLY IF NOT WANTING TO HAVE EXPOSED COMPONENTS"
TYCO,MODULE,DOUBLE GANG BACK BOX,517.035.010,5.77,
TYCO,MODULE,D800 IP55 MX MODULE ENCLOSURE,557.201.401,74.97,(HWD) 140 MM X 120 MM X 70 MM
TYCO,MODULE,EMPTY METAL ADR/MPR BOX C/W LABELS,FP0529,62.43,EMPTY RESPONDER BOX
TYCO,MODULE,F3200 CARDFRAME UPGRADE KIT,KT0072,195.54,
TYCO,MODULE,MX1 LOOP CARD / MX MODULE MOUNTING ,FP1027,33.01,"2 STANDARD MODULES (RIM, LIM ETC). 1 LARGE MODULE (MIO, LOOP)"
TYCO,MODULE,PCB STANDOFF 7.7MM DOUBLE BARB PCB (PKT 100) ,HW0052-100,48.96,PCB STAND OFF FITTED FROM FRONT OF GEAR PLATE
TYCO,ANC,13MM PLASTIC PCB STAND-OFF,X1 HW0130,0.47,PCB STAND OFF FITTED FROM REAR OF MOUNTING PLATE
TYCO,MODULE,SAB801 SOUNDER ADDRESSABLE BEACON,516.800.956,61.88,
TYCO,ANC,TGEN/QE90 MIC,ME0290,83.31,
TYCO,ANC,BELL MONITOR,PAO494,93.08,
TYCO,ANC,FIRE STROBE AND BACK BOX,40020B,98.34," BEING PHASED OUT - USE INCITE BEACON-R, DEEP BASE AND FIRE LABEL"
TYCO,ANC,STROBE RED AX-35 IP55,EA0302,121.91,
TYCO,ANC,DUAL STROBE (RED/AMBER) C/W SURFACE MOUNTING BASE 24 VOLT,EA0313,116.26,
TYCO,ANC,SOUNDER / BEACON XENON SHALLOW BASE IP54,576.501.224,108.94,
TYCO,ANC,MX ADDRESS FLAGS X 100,516.800.915,276.16,
TYCO,ANC,ADDRESS FLAGS LOOP A WHITE,516.800.931,11.91,
TYCO,MCP,MX ADDRESSABLE MCP CP820,514.800.611,112.68,
TYCO,MCP,KAC TRANSPARENT HINGED MCP COVER,SU0615,5.83,
TYCO,MCP,KAC CONVENTIONAL MCP RED,SU0631,14.38,NO BACK BOX SUPPLIED
TYCO,MCP,KAC BACKBOX MCP RED,SU0632,2.75,
TYCO,MCP,KAC MCP - IP67 WEATHERPROOF / SPECIAL ENVIRONMENT ,SU0634,173.55,
TYCO,MCP,MCP SPARE GLASS (PKT 5),515.001.025,28.4,
TYCO,MCP,KAC FLEXIBLE PLASTIC ELEMENT MCP,515.001.127,2.45,
TYCO,MCP,MCP SPARE TEST KEY (PKT 10),SC070,9.7,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN ROOM),E523,8.67,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN DUCT),E525,11.5,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN ROOF),E526,11.5,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN CUPBOARD),E529,11.5,
TYCO,REMOTE,"LATCHING REMOTE ""FIRE ALARM IN ROOM""",E573,71.93,
TYCO,REMOTE,"LATCHING REMOTE ""FIRE ALARM IN DUCT""",E575,71.93,LATCHING REMOTE INDICATOR FOR USE WITH T54B PROBE TYPE FIRE DETECTOR
TYCO,HT,T54B HEAT DETECTOR - 90°C,T4E90X,133.87,HIGH TEMP HEAT PROBE
TYCO,SPKR,SPEAKER ONE SHOT 100V LINE SPEAKER,EA0036,27.01,7240 ONE SHOT SPEAKER
TYCO,SPKR,SPEAKER ONE SHOT 100 MM SURFACE MOUNT,EA0009,41.48,BEST OPTION FOR SURFACE MOUNT
TYCO,SPKR,10W PLASTIC HORN SPEAKER IP66 (C2053) SMALL INCL CAPACITOR,EA0013,39.15,
TYCO,SPKR,SPEAKER HORN MOUNTING ACCESSORY (WURLI-GIG),C2052,10.18,
TYCO,ANC,WIP PHONE VIGILANT,FP0938,52.5,
TYCO,MDH,DOOR HOLDER RELEASE,EA0405,37.5,
TYCO,MDH,ELECTROMAGNETIC DOOR HOLDER 150 MM STRAIGHT,EA0407,167.52,230 MM TOTAL STAND OFF LENGTH FROM BASE PLATE TO ANVIL
TYCO,MDH,ELECTROMAGNETIC DOOR HOLDER 300 MM STRAIGHT,EA0408,169.58,
TYCO,MDH,ELECTROMAGNETIC DOOR HOLDER,FP0101,84,"WALL MOUNT, MOUNT ON SOLID SINGLE GANG MOUNTING BOX"
TYCO,MDH,30° ANVIL (KEEPER PLATE),17295/30,51.25,
TYCO,ANC,REPLACEMENT MX1 LCD MODULE KIT,FP0913 ,289.25,REPAIRS CORRUPT / RANDOM CHARACTERS ON SCREEN
TYCO,ANC,QE90 EVAC CONTROL PANEL 3WIP/ZONE PCB ASSY ECP9702-2 ,PA0643,1420.49,REPLACEMENT ECP CIRCUIT BOARD
TYCO,ANC,PCB ASSY 1901-213 MX4428 RESPONDER,PA0893,749.87,
TYCO,ANC,MXP RESPONDER IN BOX,FP0824,673.48,
